10 21
30 427
50 1989
70 6530
90 6026
110 8209
130 9073
150 13658
170 20310
190 33306
210 38496
230 50687
250 65877
270 85869
290 111663
310 135366
330 167903
350 211513
370 245711
390 289510
410 345921
430 391179
450 458957
470 525114
490 607818
